Date,Year,Month,ONI,RONI
1950-01,1950,1,-1.5,-1.5
1950-02,1950,2,-1.3,-1.3
1950-03,1950,3,-1.2,-1.1
1950-04,1950,4,-1.2,-1.1
1950-05,1950,5,-1.1,-1.0
1950-06,1950,6,-0.9,-0.7
1950-07,1950,7,-0.5,-0.4
1950-08,1950,8,-0.4,-0.2
1950-09,1950,9,-0.4,-0.2
1950-10,1950,10,-0.4,-0.3
1950-11,1950,11,-0.6,-0.4
1950-12,1950,12,-0.8,-0.6
1951-01,1951,1,-0.8,-0.5
1951-02,1951,2,-0.5,-0.2
1951-03,1951,3,-0.2,0.3
1951-04,1951,4,0.2,0.6
1951-05,1951,5,0.4,0.6
1951-06,1951,6,0.6,0.7
1951-07,1951,7,0.7,0.7
1951-08,1951,8,0.9,0.8
1951-09,1951,9,1.0,0.9
1951-10,1951,10,1.2,1.0
1951-11,1951,11,1.0,0.9
1951-12,1951,12,0.8,0.8
1952-01,1952,1,0.5,0.6
1952-02,1952,2,0.4,0.4
1952-03,1952,3,0.3,0.4
1952-04,1952,4,0.3,0.4
1952-05,1952,5,0.2,0.3
1952-06,1952,6,0.0,0.1
1952-07,1952,7,-0.1,0.0
1952-08,1952,8,0.0,0.0
1952-09,1952,9,0.2,0.1
1952-10,1952,10,0.1,0.0
1952-11,1952,11,0.0,0.0
1952-12,1952,12,0.1,0.2
1953-01,1953,1,0.4,0.5
1953-02,1953,2,0.6,0.8
1953-03,1953,3,0.6,0.8
1953-04,1953,4,0.7,0.8
1953-05,1953,5,0.8,0.8
1953-06,1953,6,0.8,0.8
1953-07,1953,7,0.7,0.7
1953-08,1953,8,0.7,0.7
1953-09,1953,9,0.8,0.7
1953-10,1953,10,0.8,0.8
1953-11,1953,11,0.8,0.8
1953-12,1953,12,0.8,0.9
1954-01,1954,1,0.8,1.0
1954-02,1954,2,0.5,0.7
1954-03,1954,3,0.0,0.1
1954-04,1954,4,-0.4,-0.2
1954-05,1954,5,-0.5,-0.3
1954-06,1954,6,-0.5,-0.3
1954-07,1954,7,-0.6,-0.5
1954-08,1954,8,-0.8,-0.7
1954-09,1954,9,-0.9,-0.8
1954-10,1954,10,-0.8,-0.7
1954-11,1954,11,-0.7,-0.6
1954-12,1954,12,-0.7,-0.4
1955-01,1955,1,-0.7,-0.4
1955-02,1955,2,-0.6,-0.3
1955-03,1955,3,-0.7,-0.3
1955-04,1955,4,-0.8,-0.4
1955-05,1955,5,-0.8,-0.4
1955-06,1955,6,-0.7,-0.4
1955-07,1955,7,-0.7,-0.4
1955-08,1955,8,-0.7,-0.6
1955-09,1955,9,-1.1,-1.0
1955-10,1955,10,-1.4,-1.4
1955-11,1955,11,-1.7,-1.6
1955-12,1955,12,-1.5,-1.3
1956-01,1956,1,-1.1,-0.7
1956-02,1956,2,-0.8,-0.3
1956-03,1956,3,-0.6,-0.2
1956-04,1956,4,-0.5,-0.1
1956-05,1956,5,-0.5,0.0
1956-06,1956,6,-0.5,-0.1
1956-07,1956,7,-0.6,-0.3
1956-08,1956,8,-0.6,-0.3
1956-09,1956,9,-0.5,-0.3
1956-10,1956,10,-0.4,-0.3
1956-11,1956,11,-0.4,-0.4
1956-12,1956,12,-0.4,-0.2
1957-01,1957,1,-0.2,0.0
1957-02,1957,2,0.1,0.4
1957-03,1957,3,0.4,0.7
1957-04,1957,4,0.7,1.0
1957-05,1957,5,0.9,1.1
1957-06,1957,6,1.1,1.2
1957-07,1957,7,1.3,1.2
1957-08,1957,8,1.3,1.3
1957-09,1957,9,1.3,1.2
1957-10,1957,10,1.4,1.3
1957-11,1957,11,1.5,1.5
1957-12,1957,12,1.7,1.9
1958-01,1958,1,1.8,2.0
1958-02,1958,2,1.7,1.9
1958-03,1958,3,1.3,1.4
1958-04,1958,4,0.9,1.1
1958-05,1958,5,0.7,0.8
1958-06,1958,6,0.6,0.7
1958-07,1958,7,0.6,0.5
1958-08,1958,8,0.4,0.3
1958-09,1958,9,0.4,0.2
1958-10,1958,10,0.4,0.3
1958-11,1958,11,0.5,0.4
1958-12,1958,12,0.6,0.7
1959-01,1959,1,0.6,0.8
1959-02,1959,2,0.6,0.8
1959-03,1959,3,0.5,0.7
1959-04,1959,4,0.3,0.4
1959-05,1959,5,0.2,0.3
1959-06,1959,6,-0.1,-0.1
1959-07,1959,7,-0.2,-0.2
1959-08,1959,8,-0.3,-0.4
1959-09,1959,9,-0.1,-0.3
1959-10,1959,10,0.0,-0.3
1959-11,1959,11,0.0,-0.1
1959-12,1959,12,0.0,0.0
1960-01,1960,1,-0.1,0.0
1960-02,1960,2,-0.1,0.0
1960-03,1960,3,-0.1,0.0
1960-04,1960,4,0.0,0.1
1960-05,1960,5,0.0,0.1
1960-06,1960,6,0.0,0.0
1960-07,1960,7,0.1,0.1
1960-08,1960,8,0.2,0.2
1960-09,1960,9,0.3,0.2
1960-10,1960,10,0.2,0.1
1960-11,1960,11,0.1,0.0
1960-12,1960,12,0.1,0.0
1961-01,1961,1,0.0,0.1
1961-02,1961,2,0.0,0.1
1961-03,1961,3,0.0,0.0
1961-04,1961,4,0.1,0.1
1961-05,1961,5,0.2,0.3
1961-06,1961,6,0.3,0.3
1961-07,1961,7,0.1,0.2
1961-08,1961,8,-0.1,-0.1
1961-09,1961,9,-0.3,-0.3
1961-10,1961,10,-0.3,-0.3
1961-11,1961,11,-0.2,-0.2
1961-12,1961,12,-0.2,-0.1
1962-01,1962,1,-0.2,-0.1
1962-02,1962,2,-0.2,-0.1
1962-03,1962,3,-0.2,-0.1
1962-04,1962,4,-0.3,-0.2
1962-05,1962,5,-0.3,-0.3
1962-06,1962,6,-0.2,-0.2
1962-07,1962,7,0.0,-0.1
1962-08,1962,8,-0.1,-0.2
1962-09,1962,9,-0.1,-0.2
1962-10,1962,10,-0.2,-0.4
1962-11,1962,11,-0.3,-0.5
1962-12,1962,12,-0.4,-0.5
1963-01,1963,1,-0.4,-0.4
1963-02,1963,2,-0.2,-0.1
1963-03,1963,3,0.2,0.2
1963-04,1963,4,0.3,0.2
1963-05,1963,5,0.3,0.2
1963-06,1963,6,0.5,0.4
1963-07,1963,7,0.9,0.7
1963-08,1963,8,1.1,1.0
1963-09,1963,9,1.2,1.0
1963-10,1963,10,1.3,1.1
1963-11,1963,11,1.4,1.2
1963-12,1963,12,1.3,1.3
1964-01,1964,1,1.1,1.1
1964-02,1964,2,0.6,0.7
1964-03,1964,3,0.1,0.1
1964-04,1964,4,-0.3,-0.4
1964-05,1964,5,-0.6,-0.6
1964-06,1964,6,-0.6,-0.6
1964-07,1964,7,-0.6,-0.6
1964-08,1964,8,-0.7,-0.6
1964-09,1964,9,-0.8,-0.7
1964-10,1964,10,-0.8,-0.8
1964-11,1964,11,-0.8,-0.7
1964-12,1964,12,-0.8,-0.5
1965-01,1965,1,-0.6,-0.2
1965-02,1965,2,-0.3,0.1
1965-03,1965,3,-0.1,0.2
1965-04,1965,4,0.2,0.4
1965-05,1965,5,0.5,0.6
1965-06,1965,6,0.8,1.0
1965-07,1965,7,1.2,1.4
1965-08,1965,8,1.5,1.7
1965-09,1965,9,1.9,1.9
1965-10,1965,10,2.0,2.0
1965-11,1965,11,2.0,2.0
1965-12,1965,12,1.7,1.9
1966-01,1966,1,1.4,1.7
1966-02,1966,2,1.2,1.5
1966-03,1966,3,1.0,1.3
1966-04,1966,4,0.7,0.9
1966-05,1966,5,0.4,0.5
1966-06,1966,6,0.2,0.3
1966-07,1966,7,0.2,0.3
1966-08,1966,8,0.1,0.1
1966-09,1966,9,-0.1,0.0
1966-10,1966,10,-0.1,-0.1
1966-11,1966,11,-0.2,-0.1
1966-12,1966,12,-0.3,-0.2
1967-01,1967,1,-0.4,-0.2
1967-02,1967,2,-0.5,-0.2
1967-03,1967,3,-0.5,-0.4
1967-04,1967,4,-0.4,-0.4
1967-05,1967,5,-0.2,-0.2
1967-06,1967,6,0.0,0.2
1967-07,1967,7,0.0,0.3
1967-08,1967,8,-0.2,0.1
1967-09,1967,9,-0.3,0.0
1967-10,1967,10,-0.4,-0.1
1967-11,1967,11,-0.3,0.0
1967-12,1967,12,-0.4,0.0
1968-01,1968,1,-0.6,-0.2
1968-02,1968,2,-0.7,-0.3
1968-03,1968,3,-0.6,-0.3
1968-04,1968,4,-0.4,-0.2
1968-05,1968,5,0.0,0.2
1968-06,1968,6,0.3,0.5
1968-07,1968,7,0.6,0.7
1968-08,1968,8,0.5,0.6
1968-09,1968,9,0.4,0.5
1968-10,1968,10,0.5,0.6
1968-11,1968,11,0.7,0.8
1968-12,1968,12,1.0,1.1
1969-01,1969,1,1.1,1.2
1969-02,1969,2,1.1,1.1
1969-03,1969,3,0.9,0.9
1969-04,1969,4,0.8,0.5
1969-05,1969,5,0.6,0.4
1969-06,1969,6,0.4,0.2
1969-07,1969,7,0.4,0.2
1969-08,1969,8,0.5,0.4
1969-09,1969,9,0.8,0.7
1969-10,1969,10,0.9,0.8
1969-11,1969,11,0.8,0.7
1969-12,1969,12,0.6,0.6
1970-01,1970,1,0.5,0.5
1970-02,1970,2,0.3,0.3
1970-03,1970,3,0.3,0.3
1970-04,1970,4,0.2,0.1
1970-05,1970,5,0.0,0.0
1970-06,1970,6,-0.3,-0.3
1970-07,1970,7,-0.6,-0.6
1970-08,1970,8,-0.8,-0.7
1970-09,1970,9,-0.8,-0.7
1970-10,1970,10,-0.7,-0.6
1970-11,1970,11,-0.9,-0.7
1970-12,1970,12,-1.1,-0.9
1971-01,1971,1,-1.4,-1.0
1971-02,1971,2,-1.4,-1.0
1971-03,1971,3,-1.1,-0.8
1971-04,1971,4,-0.8,-0.6
1971-05,1971,5,-0.7,-0.5
1971-06,1971,6,-0.7,-0.4
1971-07,1971,7,-0.8,-0.4
1971-08,1971,8,-0.8,-0.4
1971-09,1971,9,-0.8,-0.5
1971-10,1971,10,-0.9,-0.5
1971-11,1971,11,-1.0,-0.5
1971-12,1971,12,-0.9,-0.5
1972-01,1972,1,-0.7,-0.3
1972-02,1972,2,-0.4,0.0
1972-03,1972,3,0.1,0.4
1972-04,1972,4,0.4,0.8
1972-05,1972,5,0.7,0.9
1972-06,1972,6,0.9,1.1
1972-07,1972,7,1.1,1.3
1972-08,1972,8,1.4,1.5
1972-09,1972,9,1.6,1.7
1972-10,1972,10,1.8,2.0
1972-11,1972,11,2.1,2.2
1972-12,1972,12,2.1,2.3
1973-01,1973,1,1.8,2.0
1973-02,1973,2,1.2,1.4
1973-03,1973,3,0.5,0.6
1973-04,1973,4,-0.1,-0.2
1973-05,1973,5,-0.5,-0.8
1973-06,1973,6,-0.9,-1.1
1973-07,1973,7,-1.1,-1.2
1973-08,1973,8,-1.3,-1.4
1973-09,1973,9,-1.5,-1.5
1973-10,1973,10,-1.7,-1.8
1973-11,1973,11,-1.9,-1.9
1973-12,1973,12,-2.0,-1.9
1974-01,1974,1,-1.8,-1.5
1974-02,1974,2,-1.6,-1.2
1974-03,1974,3,-1.2,-0.9
1974-04,1974,4,-1.0,-0.9
1974-05,1974,5,-0.9,-0.8
1974-06,1974,6,-0.8,-0.6
1974-07,1974,7,-0.5,-0.4
1974-08,1974,8,-0.4,-0.2
1974-09,1974,9,-0.4,-0.2
1974-10,1974,10,-0.6,-0.4
1974-11,1974,11,-0.8,-0.4
1974-12,1974,12,-0.6,-0.2
1975-01,1975,1,-0.5,-0.1
1975-02,1975,2,-0.6,-0.1
1975-03,1975,3,-0.7,-0.3
1975-04,1975,4,-0.7,-0.5
1975-05,1975,5,-0.8,-0.6
1975-06,1975,6,-1.0,-0.8
1975-07,1975,7,-1.1,-0.9
1975-08,1975,8,-1.2,-0.9
1975-09,1975,9,-1.4,-1.0
1975-10,1975,10,-1.4,-1.0
1975-11,1975,11,-1.6,-1.1
1975-12,1975,12,-1.7,-1.1
1976-01,1976,1,-1.6,-1.0
1976-02,1976,2,-1.2,-0.6
1976-03,1976,3,-0.7,-0.3
1976-04,1976,4,-0.5,-0.1
1976-05,1976,5,-0.3,0.0
1976-06,1976,6,0.0,0.2
1976-07,1976,7,0.2,0.5
1976-08,1976,8,0.4,0.7
1976-09,1976,9,0.6,0.9
1976-10,1976,10,0.8,1.1
1976-11,1976,11,0.9,1.1
1976-12,1976,12,0.8,1.1
1977-01,1977,1,0.7,1.0
1977-02,1977,2,0.6,0.9
1977-03,1977,3,0.3,0.5
1977-04,1977,4,0.2,0.3
1977-05,1977,5,0.2,0.2
1977-06,1977,6,0.3,0.4
1977-07,1977,7,0.4,0.4
1977-08,1977,8,0.4,0.6
1977-09,1977,9,0.6,0.8
1977-10,1977,10,0.7,1.0
1977-11,1977,11,0.8,1.1
1977-12,1977,12,0.8,1.1
1978-01,1978,1,0.7,0.9
1978-02,1978,2,0.4,0.6
1978-03,1978,3,0.1,0.1
1978-04,1978,4,-0.2,-0.2
1978-05,1978,5,-0.3,-0.4
1978-06,1978,6,-0.3,-0.3
1978-07,1978,7,-0.4,-0.3
1978-08,1978,8,-0.4,-0.3
1978-09,1978,9,-0.4,-0.2
1978-10,1978,10,-0.3,0.0
1978-11,1978,11,-0.1,0.2
1978-12,1978,12,0.0,0.2
1979-01,1979,1,0.0,0.2
1979-02,1979,2,0.1,0.2
1979-03,1979,3,0.2,0.2
1979-04,1979,4,0.3,0.2
1979-05,1979,5,0.2,0.1
1979-06,1979,6,0.0,-0.1
1979-07,1979,7,0.0,0.0
1979-08,1979,8,0.2,0.2
1979-09,1979,9,0.3,0.4
1979-10,1979,10,0.5,0.5
1979-11,1979,11,0.5,0.5
1979-12,1979,12,0.6,0.7
1980-01,1980,1,0.6,0.6
1980-02,1980,2,0.5,0.5
1980-03,1980,3,0.3,0.3
1980-04,1980,4,0.4,0.2
1980-05,1980,5,0.5,0.3
1980-06,1980,6,0.5,0.3
1980-07,1980,7,0.3,0.2
1980-08,1980,8,0.0,0.0
1980-09,1980,9,-0.1,0.0
1980-10,1980,10,0.0,0.1
1980-11,1980,11,0.1,0.2
1980-12,1980,12,0.0,0.2
1981-01,1981,1,-0.3,0.0
1981-02,1981,2,-0.5,-0.3
1981-03,1981,3,-0.5,-0.3
1981-04,1981,4,-0.4,-0.3
1981-05,1981,5,-0.3,-0.3
1981-06,1981,6,-0.3,-0.3
